nurse_id_i,name_i,nurse_id_j,name_j,js_distance
28978,Nathaniel Morse,39245,Jessica Patel,0.5079376864
28978,Nathaniel Morse,47931,Bradley Mccann,0.3888713515
28978,Nathaniel Morse,58489,Jeanne Rodriguez,0.4564799667
28978,Nathaniel Morse,62116,David Galloway,0.2772807967
28978,Nathaniel Morse,73765,Anthony Webb,0.5369785964
28978,Nathaniel Morse,74398,Lauren Salinas,0.3141092032
28978,Nathaniel Morse,81119,Mrs. Rachel Price MD,0.3411494126
28978,Nathaniel Morse,99412,Jaclyn Robinson,0.6116984104
39245,Jessica Patel,47931,Bradley Mccann,0.3590145107
39245,Jessica Patel,58489,Jeanne Rodriguez,0.4427572794
39245,Jessica Patel,62116,David Galloway,0.4418440477
39245,Jessica Patel,73765,Anthony Webb,0.4269238260
39245,Jessica Patel,74398,Lauren Salinas,0.4559855488
39245,Jessica Patel,81119,Mrs. Rachel Price MD,0.4201042342
39245,Jessica Patel,99412,Jaclyn Robinson,0.5001918381
47931,Bradley Mccann,58489,Jeanne Rodriguez,0.2674455467
47931,Bradley Mccann,62116,David Galloway,0.2503987765
47931,Bradley Mccann,73765,Anthony Webb,0.3152028324
47931,Bradley Mccann,74398,Lauren Salinas,0.2906872504
47931,Bradley Mccann,81119,Mrs. Rachel Price MD,0.2398674049
47931,Bradley Mccann,99412,Jaclyn Robinson,0.4064941830
58489,Jeanne Rodriguez,62116,David Galloway,0.3569912337
58489,Jeanne Rodriguez,73765,Anthony Webb,0.3034870195
58489,Jeanne Rodriguez,74398,Lauren Salinas,0.3065573330
58489,Jeanne Rodriguez,81119,Mrs. Rachel Price MD,0.3592540778
58489,Jeanne Rodriguez,99412,Jaclyn Robinson,0.4089812827
62116,David Galloway,73765,Anthony Webb,0.4663017358
62116,David Galloway,74398,Lauren Salinas,0.1674194138
62116,David Galloway,81119,Mrs. Rachel Price MD,0.2775373849
62116,David Galloway,99412,Jaclyn Robinson,0.5216389229
73765,Anthony Webb,74398,Lauren Salinas,0.4670608031
73765,Anthony Webb,81119,Mrs. Rachel Price MD,0.4154970349
73765,Anthony Webb,99412,Jaclyn Robinson,0.3359632472
74398,Lauren Salinas,81119,Mrs. Rachel Price MD,0.3139794102
74398,Lauren Salinas,99412,Jaclyn Robinson,0.5359535266
81119,Mrs. Rachel Price MD,99412,Jaclyn Robinson,0.5179943307
