nurse_id_i,name_i,nurse_id_j,name_j,js_distance
28978,Nathaniel Morse,30150,Michael White,0.6345620772
28978,Nathaniel Morse,36258,Lauren Wright,0.5292812805
28978,Nathaniel Morse,46630,Sara Lynn,0.6561289767
28978,Nathaniel Morse,46740,Jason Drake,0.5274011191
28978,Nathaniel Morse,52677,Krista Jones,0.5547026788
28978,Nathaniel Morse,52773,Ian Garcia,0.7411127601
28978,Nathaniel Morse,53951,Melissa Welch,0.6555063998
28978,Nathaniel Morse,62617,Raymond Clark,0.6386682709
28978,Nathaniel Morse,89525,Cindy Hernandez,0.6510955928
30150,Michael White,36258,Lauren Wright,0.6147572535
30150,Michael White,46630,Sara Lynn,0.5878385807
30150,Michael White,46740,Jason Drake,0.6259916376
30150,Michael White,52677,Krista Jones,0.6040132238
30150,Michael White,52773,Ian Garcia,0.7495327336
30150,Michael White,53951,Melissa Welch,0.6296731460
30150,Michael White,62617,Raymond Clark,0.5491805498
30150,Michael White,89525,Cindy Hernandez,0.5493494498
36258,Lauren Wright,46630,Sara Lynn,0.5857129317
36258,Lauren Wright,46740,Jason Drake,0.4743579711
36258,Lauren Wright,52677,Krista Jones,0.4672696788
36258,Lauren Wright,52773,Ian Garcia,0.7406770615
36258,Lauren Wright,53951,Melissa Welch,0.6295814536
36258,Lauren Wright,62617,Raymond Clark,0.5704339279
36258,Lauren Wright,89525,Cindy Hernandez,0.5944882513
46630,Sara Lynn,46740,Jason Drake,0.6604792223
46630,Sara Lynn,52677,Krista Jones,0.6209866151
46630,Sara Lynn,52773,Ian Garcia,0.7848309582
46630,Sara Lynn,53951,Melissa Welch,0.6531874850
46630,Sara Lynn,62617,Raymond Clark,0.5735817583
46630,Sara Lynn,89525,Cindy Hernandez,0.5835952288
46740,Jason Drake,52677,Krista Jones,0.4884430038
46740,Jason Drake,52773,Ian Garcia,0.7228083319
46740,Jason Drake,53951,Melissa Welch,0.6406312566
46740,Jason Drake,62617,Raymond Clark,0.6319792642
46740,Jason Drake,89525,Cindy Hernandez,0.6374726603
52677,Krista Jones,52773,Ian Garcia,0.7234012307
52677,Krista Jones,53951,Melissa Welch,0.6583204046
52677,Krista Jones,62617,Raymond Clark,0.6107495944
52677,Krista Jones,89525,Cindy Hernandez,0.6103273159
52773,Ian Garcia,53951,Melissa Welch,0.7533213807
52773,Ian Garcia,62617,Raymond Clark,0.7587372448
52773,Ian Garcia,89525,Cindy Hernandez,0.7633915574
53951,Melissa Welch,62617,Raymond Clark,0.5729695132
53951,Melissa Welch,89525,Cindy Hernandez,0.6662843186
62617,Raymond Clark,89525,Cindy Hernandez,0.5444412579
