nurse_id_i,name_i,nurse_id_j,name_j,js_distance
09040,Kevin Clay,20362,Angela Garcia,0.7317293199
09040,Kevin Clay,28978,Nathaniel Morse,0.7445638951
09040,Kevin Clay,30150,Michael White,0.7694020778
09040,Kevin Clay,34921,Christina Jacobs,0.7168200514
09040,Kevin Clay,36258,Lauren Wright,0.7185289452
09040,Kevin Clay,39245,Jessica Patel,0.6192984671
09040,Kevin Clay,46630,Sara Lynn,0.7744347245
09040,Kevin Clay,46740,Jason Drake,0.7062438597
09040,Kevin Clay,47931,Bradley Mccann,0.6687548690
09040,Kevin Clay,52677,Krista Jones,0.7195200027
09040,Kevin Clay,52773,Ian Garcia,0.6430248130
09040,Kevin Clay,53951,Melissa Welch,0.7297905421
09040,Kevin Clay,58489,Jeanne Rodriguez,0.7620817532
09040,Kevin Clay,62116,David Galloway,0.7457104186
09040,Kevin Clay,62617,Raymond Clark,0.7895654924
09040,Kevin Clay,73765,Anthony Webb,0.5788297434
09040,Kevin Clay,74398,Lauren Salinas,0.7488645627
09040,Kevin Clay,81119,Mrs. Rachel Price MD,0.7376205150
09040,Kevin Clay,82336,William Vasquez,0.7371509339
09040,Kevin Clay,84362,Francisco Escobar,0.7792435470
09040,Kevin Clay,89525,Cindy Hernandez,0.7618195544
09040,Kevin Clay,99412,Jaclyn Robinson,0.5902082223
20362,Angela Garcia,28978,Nathaniel Morse,0.5281395440
20362,Angela Garcia,30150,Michael White,0.5813630859
20362,Angela Garcia,34921,Christina Jacobs,0.4125429000
20362,Angela Garcia,36258,Lauren Wright,0.4605836503
20362,Angela Garcia,39245,Jessica Patel,0.6800043206
20362,Angela Garcia,46630,Sara Lynn,0.5998423886
20362,Angela Garcia,46740,Jason Drake,0.4726470537
20362,Angela Garcia,47931,Bradley Mccann,0.4834491442
20362,Angela Garcia,52677,Krista Jones,0.4856264669
20362,Angela Garcia,52773,Ian Garcia,0.7323043171
20362,Angela Garcia,53951,Melissa Welch,0.5983822710
20362,Angela Garcia,58489,Jeanne Rodriguez,0.7101936768
20362,Angela Garcia,62116,David Galloway,0.4192982990
20362,Angela Garcia,62617,Raymond Clark,0.5744770074
20362,Angela Garcia,73765,Anthony Webb,0.7024494543
20362,Angela Garcia,74398,Lauren Salinas,0.4084777492
20362,Angela Garcia,81119,Mrs. Rachel Price MD,0.5819664488
20362,Angela Garcia,82336,William Vasquez,0.4094958553
20362,Angela Garcia,84362,Francisco Escobar,0.4761212343
20362,Angela Garcia,89525,Cindy Hernandez,0.5972478618
20362,Angela Garcia,99412,Jaclyn Robinson,0.7435019212
28978,Nathaniel Morse,30150,Michael White,0.6225522009
28978,Nathaniel Morse,34921,Christina Jacobs,0.5172717777
28978,Nathaniel Morse,36258,Lauren Wright,0.5185075491
28978,Nathaniel Morse,39245,Jessica Patel,0.7159399487
