nurse_id,name,js_to_centroid
34921,Christina Jacobs,0.3517521491
74398,Lauren Salinas,0.3708764382
62116,David Galloway,0.3769166622
82336,William Vasquez,0.3889619054
47931,Bradley Mccann,0.3905519597
20362,Angela Garcia,0.3968236766
36258,Lauren Wright,0.4157874793
52677,Krista Jones,0.4398309310
46740,Jason Drake,0.4505139712
84362,Francisco Escobar,0.4707441212
28978,Nathaniel Morse,0.4992026612
81119,Mrs. Rachel Price MD,0.5207191413
62617,Raymond Clark,0.5365228986
30150,Michael White,0.5412808706
89525,Cindy Hernandez,0.5545567190
53951,Melissa Welch,0.5562664173
46630,Sara Lynn,0.5595666685
39245,Jessica Patel,0.5825183324
73765,Anthony Webb,0.6088040527
09040,Kevin Clay,0.6264221024
58489,Jeanne Rodriguez,0.6277335644
52773,Ian Garcia,0.6431848139
99412,Jaclyn Robinson,0.6503417173
