nurse_id_i,name_i,nurse_id_j,name_j,js_distance
28978,Nathaniel Morse,39245,Jessica Patel,0.3705474103
28978,Nathaniel Morse,47931,Bradley Mccann,0.2740259375
28978,Nathaniel Morse,58489,Jeanne Rodriguez,0.3021364274
28978,Nathaniel Morse,62116,David Galloway,0.1186410412
28978,Nathaniel Morse,73765,Anthony Webb,0.4150853551
28978,Nathaniel Morse,74398,Lauren Salinas,0.1679685091
28978,Nathaniel Morse,81119,Mrs. Rachel Price MD,0.2057648804
28978,Nathaniel Morse,99412,Jaclyn Robinson,0.4576316049
39245,Jessica Patel,47931,Bradley Mccann,0.2187361843
39245,Jessica Patel,58489,Jeanne Rodriguez,0.2405579148
39245,Jessica Patel,62116,David Galloway,0.3056858550
39245,Jessica Patel,73765,Anthony Webb,0.2499681175
39245,Jessica Patel,74398,Lauren Salinas,0.3158015762
39245,Jessica Patel,81119,Mrs. Rachel Price MD,0.2854956210
39245,Jessica Patel,99412,Jaclyn Robinson,0.2795939368
47931,Bradley Mccann,58489,Jeanne Rodriguez,0.1194605217
47931,Bradley Mccann,62116,David Galloway,0.1889778669
47931,Bradley Mccann,73765,Anthony Webb,0.1886457803
47931,Bradley Mccann,74398,Lauren Salinas,0.2090912458
47931,Bradley Mccann,81119,Mrs. Rachel Price MD,0.1676470103
47931,Bradley Mccann,99412,Jaclyn Robinson,0.2369924332
58489,Jeanne Rodriguez,62116,David Galloway,0.2235697887
58489,Jeanne Rodriguez,73765,Anthony Webb,0.1501908475
58489,Jeanne Rodriguez,74398,Lauren Salinas,0.1833093136
58489,Jeanne Rodriguez,81119,Mrs. Rachel Price MD,0.1263915366
58489,Jeanne Rodriguez,99412,Jaclyn Robinson,0.1908953896
62116,David Galloway,73765,Anthony Webb,0.3419180161
62116,David Galloway,74398,Lauren Salinas,0.1265394743
62116,David Galloway,81119,Mrs. Rachel Price MD,0.1349621515
62116,David Galloway,99412,Jaclyn Robinson,0.3880878790
73765,Anthony Webb,74398,Lauren Salinas,0.3167629726
73765,Anthony Webb,81119,Mrs. Rachel Price MD,0.2689603430
73765,Anthony Webb,99412,Jaclyn Robinson,0.0551155352
74398,Lauren Salinas,81119,Mrs. Rachel Price MD,0.0665734759
74398,Lauren Salinas,99412,Jaclyn Robinson,0.3562792001
81119,Mrs. Rachel Price MD,99412,Jaclyn Robinson,0.3094382642
