nurse_id_i,name_i,nurse_id_j,name_j,js_distance
28978,Nathaniel Morse,30150,Michael White,0.4461400680
28978,Nathaniel Morse,36258,Lauren Wright,0.3020084249
28978,Nathaniel Morse,46630,Sara Lynn,0.4572793616
28978,Nathaniel Morse,46740,Jason Drake,0.2822770423
28978,Nathaniel Morse,52677,Krista Jones,0.3435231514
28978,Nathaniel Morse,52773,Ian Garcia,0.6118157160
28978,Nathaniel Morse,53951,Melissa Welch,0.4527987182
28978,Nathaniel Morse,62617,Raymond Clark,0.4524026915
28978,Nathaniel Morse,89525,Cindy Hernandez,0.4541202477
30150,Michael White,36258,Lauren Wright,0.3896887494
30150,Michael White,46630,Sara Lynn,0.3247370690
30150,Michael White,46740,Jason Drake,0.4229157437
30150,Michael White,52677,Krista Jones,0.4069102352
30150,Michael White,52773,Ian Garcia,0.6123481922
30150,Michael White,53951,Melissa Welch,0.3452755661
30150,Michael White,62617,Raymond Clark,0.2731681406
30150,Michael White,89525,Cindy Hernandez,0.3186153818
36258,Lauren Wright,46630,Sara Lynn,0.3829900778
36258,Lauren Wright,46740,Jason Drake,0.2449246646
36258,Lauren Wright,52677,Krista Jones,0.2404613628
36258,Lauren Wright,52773,Ian Garcia,0.6024950382
36258,Lauren Wright,53951,Melissa Welch,0.4252083804
36258,Lauren Wright,62617,Raymond Clark,0.3958579470
36258,Lauren Wright,89525,Cindy Hernandez,0.3769589475
46630,Sara Lynn,46740,Jason Drake,0.4550467996
46630,Sara Lynn,52677,Krista Jones,0.4217825377
46630,Sara Lynn,52773,Ian Garcia,0.6253859892
46630,Sara Lynn,53951,Melissa Welch,0.3696229049
46630,Sara Lynn,62617,Raymond Clark,0.3380740439
46630,Sara Lynn,89525,Cindy Hernandez,0.3196389971
46740,Jason Drake,52677,Krista Jones,0.2760543498
46740,Jason Drake,52773,Ian Garcia,0.5903345943
46740,Jason Drake,53951,Melissa Welch,0.4512804501
46740,Jason Drake,62617,Raymond Clark,0.4556516052
46740,Jason Drake,89525,Cindy Hernandez,0.4358926353
52677,Krista Jones,52773,Ian Garcia,0.6025837372
52677,Krista Jones,53951,Melissa Welch,0.4497051913
52677,Krista Jones,62617,Raymond Clark,0.4286673565
52677,Krista Jones,89525,Cindy Hernandez,0.4016171834
52773,Ian Garcia,53951,Melissa Welch,0.5717310606
52773,Ian Garcia,62617,Raymond Clark,0.6206444492
52773,Ian Garcia,89525,Cindy Hernandez,0.6077451425
53951,Melissa Welch,62617,Raymond Clark,0.3347864728
53951,Melissa Welch,89525,Cindy Hernandez,0.4303234352
62617,Raymond Clark,89525,Cindy Hernandez,0.3147648628
