nurse_id_i,name_i,nurse_id_j,name_j,js_distance
09040,Kevin Clay,20362,Angela Garcia,0.6634637955
09040,Kevin Clay,28978,Nathaniel Morse,0.6761649271
09040,Kevin Clay,30150,Michael White,0.7219699160
09040,Kevin Clay,34921,Christina Jacobs,0.6502767369
09040,Kevin Clay,36258,Lauren Wright,0.6545433644
09040,Kevin Clay,39245,Jessica Patel,0.5113245941
09040,Kevin Clay,46630,Sara Lynn,0.7058747730
09040,Kevin Clay,46740,Jason Drake,0.6388868820
09040,Kevin Clay,47931,Bradley Mccann,0.5857000008
09040,Kevin Clay,52677,Krista Jones,0.6609764748
09040,Kevin Clay,52773,Ian Garcia,0.5439045796
09040,Kevin Clay,53951,Melissa Welch,0.6582012868
09040,Kevin Clay,58489,Jeanne Rodriguez,0.7042935082
09040,Kevin Clay,62116,David Galloway,0.6788023117
09040,Kevin Clay,62617,Raymond Clark,0.7372601387
09040,Kevin Clay,73765,Anthony Webb,0.4542543513
09040,Kevin Clay,74398,Lauren Salinas,0.6852817491
09040,Kevin Clay,81119,Mrs. Rachel Price MD,0.6595174578
09040,Kevin Clay,82336,William Vasquez,0.6706222144
09040,Kevin Clay,84362,Francisco Escobar,0.7276882006
09040,Kevin Clay,89525,Cindy Hernandez,0.7095720894
09040,Kevin Clay,99412,Jaclyn Robinson,0.5118758639
20362,Angela Garcia,28978,Nathaniel Morse,0.4194735030
20362,Angela Garcia,30150,Michael White,0.4844273009
20362,Angela Garcia,34921,Christina Jacobs,0.3029106533
20362,Angela Garcia,36258,Lauren Wright,0.3479585960
20362,Angela Garcia,39245,Jessica Patel,0.5982416079
20362,Angela Garcia,46630,Sara Lynn,0.5156636373
20362,Angela Garcia,46740,Jason Drake,0.3627087531
20362,Angela Garcia,47931,Bradley Mccann,0.3794463225
20362,Angela Garcia,52677,Krista Jones,0.3650525020
20362,Angela Garcia,52773,Ian Garcia,0.6834680315
20362,Angela Garcia,53951,Melissa Welch,0.5140736948
20362,Angela Garcia,58489,Jeanne Rodriguez,0.6553749819
20362,Angela Garcia,62116,David Galloway,0.3126164597
20362,Angela Garcia,62617,Raymond Clark,0.4770938348
20362,Angela Garcia,73765,Anthony Webb,0.6240036776
20362,Angela Garcia,74398,Lauren Salinas,0.2983839874
20362,Angela Garcia,81119,Mrs. Rachel Price MD,0.4881535074
20362,Angela Garcia,82336,William Vasquez,0.3009334527
20362,Angela Garcia,84362,Francisco Escobar,0.3599313187
20362,Angela Garcia,89525,Cindy Hernandez,0.4945123034
20362,Angela Garcia,99412,Jaclyn Robinson,0.6944851461
28978,Nathaniel Morse,30150,Michael White,0.5394781971
28978,Nathaniel Morse,34921,Christina Jacobs,0.4068348827
28978,Nathaniel Morse,36258,Lauren Wright,0.4019380309
28978,Nathaniel Morse,39245,Jessica Patel,0.6277329777
28978,Nathaniel Morse,46630,Sara Lynn,0.5584535079
28978,Nathaniel Morse,46740,Jason Drake,0.3868777371
28978,Nathaniel Morse,47931,Bradley Mccann,0.4686975892
28978,Nathaniel Morse,52677,Krista Jones,0.4314643375
28978,Nathaniel Morse,52773,Ian Garcia,0.6813838564
28978,Nathaniel Morse,53951,Melissa Welch,0.5600683970
28978,Nathaniel Morse,58489,Jeanne Rodriguez,0.6883639773
28978,Nathaniel Morse,62116,David Galloway,0.4415729010
28978,Nathaniel Morse,62617,Raymond Clark,0.5394491351
28978,Nathaniel Morse,73765,Anthony Webb,0.6433571030
28978,Nathaniel Morse,74398,Lauren Salinas,0.4077170375
28978,Nathaniel Morse,81119,Mrs. Rachel Price MD,0.5431767399
28978,Nathaniel Morse,82336,William Vasquez,0.4442355589
28978,Nathaniel Morse,84362,Francisco Escobar,0.4601261862
28978,Nathaniel Morse,89525,Cindy Hernandez,0.5477171857
28978,Nathaniel Morse,99412,Jaclyn Robinson,0.6995437372
30150,Michael White,34921,Christina Jacobs,0.4679049410
30150,Michael White,36258,Lauren Wright,0.5061205434
30150,Michael White,39245,Jessica Patel,0.6292759469
30150,Michael White,46630,Sara Lynn,0.4853081708
30150,Michael White,46740,Jason Drake,0.5340711058
30150,Michael White,47931,Bradley Mccann,0.4966289329
30150,Michael White,52677,Krista Jones,0.5094994003
30150,Michael White,52773,Ian Garcia,0.6876071705
30150,Michael White,53951,Melissa Welch,0.5144508671
30150,Michael White,58489,Jeanne Rodriguez,0.6288523019
30150,Michael White,62116,David Galloway,0.4595215174
30150,Michael White,62617,Raymond Clark,0.4252487168
30150,Michael White,73765,Anthony Webb,0.6778175742
30150,Michael White,74398,Lauren Salinas,0.4269080509
30150,Michael White,81119,Mrs. Rachel Price MD,0.4353791646
30150,Michael White,82336,William Vasquez,0.4820580917
30150,Michael White,84362,Francisco Escobar,0.5158378592
30150,Michael White,89525,Cindy Hernandez,0.4533006478
30150,Michael White,99412,Jaclyn Robinson,0.7821995536
34921,Christina Jacobs,36258,Lauren Wright,0.3327617967
34921,Christina Jacobs,39245,Jessica Patel,0.5705614160
34921,Christina Jacobs,46630,Sara Lynn,0.4768293782
34921,Christina Jacobs,46740,Jason Drake,0.3712331521
34921,Christina Jacobs,47931,Bradley Mccann,0.3270259653
34921,Christina Jacobs,52677,Krista Jones,0.3752255633
34921,Christina Jacobs,52773,Ian Garcia,0.6748202864
34921,Christina Jacobs,53951,Melissa Welch,0.5018356453
34921,Christina Jacobs,58489,Jeanne Rodriguez,0.6332125421
34921,Christina Jacobs,62116,David Galloway,0.2554950905
34921,Christina Jacobs,62617,Raymond Clark,0.4615163499
34921,Christina Jacobs,73765,Anthony Webb,0.6021721203
34921,Christina Jacobs,74398,Lauren Salinas,0.2718735101
34921,Christina Jacobs,81119,Mrs. Rachel Price MD,0.4578039782
34921,Christina Jacobs,82336,William Vasquez,0.2947940182
34921,Christina Jacobs,84362,Francisco Escobar,0.3799691477
34921,Christina Jacobs,89525,Cindy Hernandez,0.4624996256
34921,Christina Jacobs,99412,Jaclyn Robinson,0.6710761711
36258,Lauren Wright,39245,Jessica Patel,0.5895024094
36258,Lauren Wright,46630,Sara Lynn,0.4980264830
36258,Lauren Wright,46740,Jason Drake,0.3546796033
36258,Lauren Wright,47931,Bradley Mccann,0.3970153143
36258,Lauren Wright,52677,Krista Jones,0.3419121448
36258,Lauren Wright,52773,Ian Garcia,0.6847439871
36258,Lauren Wright,53951,Melissa Welch,0.5477163272
36258,Lauren Wright,58489,Jeanne Rodriguez,0.6448032151
36258,Lauren Wright,62116,David Galloway,0.3507039061
36258,Lauren Wright,62617,Raymond Clark,0.4836839935
36258,Lauren Wright,73765,Anthony Webb,0.6245163795
36258,Lauren Wright,74398,Lauren Salinas,0.3234867918
36258,Lauren Wright,81119,Mrs. Rachel Price MD,0.5216006317
36258,Lauren Wright,82336,William Vasquez,0.3555244773
36258,Lauren Wright,84362,Francisco Escobar,0.3967330846
36258,Lauren Wright,89525,Cindy Hernandez,0.4919937287
36258,Lauren Wright,99412,Jaclyn Robinson,0.6844402609
39245,Jessica Patel,46630,Sara Lynn,0.6365552837
39245,Jessica Patel,46740,Jason Drake,0.5999647540
39245,Jessica Patel,47931,Bradley Mccann,0.5347932628
39245,Jessica Patel,52677,Krista Jones,0.6155314126
39245,Jessica Patel,52773,Ian Garcia,0.6141832801
39245,Jessica Patel,53951,Melissa Welch,0.5902030531
39245,Jessica Patel,58489,Jeanne Rodriguez,0.6641076414
39245,Jessica Patel,62116,David Galloway,0.5951552126
39245,Jessica Patel,62617,Raymond Clark,0.6320112582
39245,Jessica Patel,73765,Anthony Webb,0.4783762229
39245,Jessica Patel,74398,Lauren Salinas,0.5822284101
39245,Jessica Patel,81119,Mrs. Rachel Price MD,0.5721060852
39245,Jessica Patel,82336,William Vasquez,0.5982271496
39245,Jessica Patel,84362,Francisco Escobar,0.6507629046
39245,Jessica Patel,89525,Cindy Hernandez,0.6449512072
39245,Jessica Patel,99412,Jaclyn Robinson,0.6504385853
46630,Sara Lynn,46740,Jason Drake,0.5700768910
46630,Sara Lynn,47931,Bradley Mccann,0.5008926644
46630,Sara Lynn,52677,Krista Jones,0.5389333210
46630,Sara Lynn,52773,Ian Garcia,0.7249708536
46630,Sara Lynn,53951,Melissa Welch,0.5395491351
46630,Sara Lynn,58489,Jeanne Rodriguez,0.6365020692
46630,Sara Lynn,62116,David Galloway,0.4842604893
46630,Sara Lynn,62617,Raymond Clark,0.4690288405
46630,Sara Lynn,73765,Anthony Webb,0.6805866938
46630,Sara Lynn,74398,Lauren Salinas,0.4714319309
46630,Sara Lynn,81119,Mrs. Rachel Price MD,0.4992447401
