nurse_id,name,js_to_centroid
47931,Bradley Mccann,0.0521475628
46740,Jason Drake,0.0648475056
36258,Lauren Wright,0.0650029889
34921,Christina Jacobs,0.0735165648
28978,Nathaniel Morse,0.0833356406
81119,Mrs. Rachel Price MD,0.0859832673
20362,Angela Garcia,0.0969486128
62116,David Galloway,0.0995779427
52677,Krista Jones,0.1143626059
74398,Lauren Salinas,0.1169252773
82336,William Vasquez,0.1214180456
58489,Jeanne Rodriguez,0.1235551084
53951,Melissa Welch,0.1372118477
46630,Sara Lynn,0.1632292945
84362,Francisco Escobar,0.1732142990
89525,Cindy Hernandez,0.1756361701
30150,Michael White,0.1813906771
39245,Jessica Patel,0.1821939620
62617,Raymond Clark,0.1855386214
73765,Anthony Webb,0.2051737280
52773,Ian Garcia,0.2346886045
09040,Kevin Clay,0.2596207339
99412,Jaclyn Robinson,0.3962127247
