nurse_id_i,name_i,nurse_id_j,name_j,js_distance
28978,Nathaniel Morse,39245,Jessica Patel,0.8261522592
28978,Nathaniel Morse,47931,Bradley Mccann,0.7680479479
28978,Nathaniel Morse,58489,Jeanne Rodriguez,0.7234547115
28978,Nathaniel Morse,62116,David Galloway,0.6503979625
28978,Nathaniel Morse,73765,Anthony Webb,0.8078341920
28978,Nathaniel Morse,74398,Lauren Salinas,0.7694224104
28978,Nathaniel Morse,81119,Mrs. Rachel Price MD,0.7396688280
28978,Nathaniel Morse,99412,Jaclyn Robinson,0.8262320834
39245,Jessica Patel,47931,Bradley Mccann,0.7149782519
39245,Jessica Patel,58489,Jeanne Rodriguez,0.7579449310
39245,Jessica Patel,62116,David Galloway,0.7532225771
39245,Jessica Patel,73765,Anthony Webb,0.7700677881
39245,Jessica Patel,74398,Lauren Salinas,0.7335057414
39245,Jessica Patel,81119,Mrs. Rachel Price MD,0.6691560476
39245,Jessica Patel,99412,Jaclyn Robinson,0.7853773359
47931,Bradley Mccann,58489,Jeanne Rodriguez,0.6819158229
47931,Bradley Mccann,62116,David Galloway,0.5521624439
47931,Bradley Mccann,73765,Anthony Webb,0.7264596269
47931,Bradley Mccann,74398,Lauren Salinas,0.6048549454
47931,Bradley Mccann,81119,Mrs. Rachel Price MD,0.6733089486
47931,Bradley Mccann,99412,Jaclyn Robinson,0.7502215776
58489,Jeanne Rodriguez,62116,David Galloway,0.5756283128
58489,Jeanne Rodriguez,73765,Anthony Webb,0.7830497770
58489,Jeanne Rodriguez,74398,Lauren Salinas,0.7192236877
58489,Jeanne Rodriguez,81119,Mrs. Rachel Price MD,0.7177722724
58489,Jeanne Rodriguez,99412,Jaclyn Robinson,0.8063870532
62116,David Galloway,73765,Anthony Webb,0.7463301266
62116,David Galloway,74398,Lauren Salinas,0.6220522077
62116,David Galloway,81119,Mrs. Rachel Price MD,0.6724427291
62116,David Galloway,99412,Jaclyn Robinson,0.7292561239
73765,Anthony Webb,74398,Lauren Salinas,0.7472695681
73765,Anthony Webb,81119,Mrs. Rachel Price MD,0.7659967729
73765,Anthony Webb,99412,Jaclyn Robinson,0.6820869199
74398,Lauren Salinas,81119,Mrs. Rachel Price MD,0.6442635855
74398,Lauren Salinas,99412,Jaclyn Robinson,0.7393603093
81119,Mrs. Rachel Price MD,99412,Jaclyn Robinson,0.8064722849
