nurse_id_i,name_i,nurse_id_j,name_j,js_distance
28978,Nathaniel Morse,30150,Michael White,0.1406417753
28978,Nathaniel Morse,36258,Lauren Wright,0.0432804288
28978,Nathaniel Morse,46630,Sara Lynn,0.1144286352
28978,Nathaniel Morse,46740,Jason Drake,0.0627464923
28978,Nathaniel Morse,52677,Krista Jones,0.1092101020
28978,Nathaniel Morse,52773,Ian Garcia,0.2872452126
28978,Nathaniel Morse,53951,Melissa Welch,0.1312997112
28978,Nathaniel Morse,62617,Raymond Clark,0.1437484512
28978,Nathaniel Morse,89525,Cindy Hernandez,0.1368063976
30150,Michael White,36258,Lauren Wright,0.1623576847
30150,Michael White,46630,Sara Lynn,0.0683774463
30150,Michael White,46740,Jason Drake,0.1641238624
30150,Michael White,52677,Krista Jones,0.2124798479
30150,Michael White,52773,Ian Garcia,0.3329758516
30150,Michael White,53951,Melissa Welch,0.0942162567
30150,Michael White,62617,Raymond Clark,0.0341388577
30150,Michael White,89525,Cindy Hernandez,0.0505987498
36258,Lauren Wright,46630,Sara Lynn,0.1430085381
36258,Lauren Wright,46740,Jason Drake,0.0347924349
36258,Lauren Wright,52677,Krista Jones,0.0765334545
36258,Lauren Wright,52773,Ian Garcia,0.2893000341
36258,Lauren Wright,53951,Melissa Welch,0.1451677133
36258,Lauren Wright,62617,Raymond Clark,0.1677356669
36258,Lauren Wright,89525,Cindy Hernandez,0.1614639554
46630,Sara Lynn,46740,Jason Drake,0.1530413630
46630,Sara Lynn,52677,Krista Jones,0.1996824579
46630,Sara Lynn,52773,Ian Garcia,0.3159300649
46630,Sara Lynn,53951,Melissa Welch,0.1053435525
46630,Sara Lynn,62617,Raymond Clark,0.0640846760
46630,Sara Lynn,89525,Cindy Hernandez,0.0617358160
46740,Jason Drake,52677,Krista Jones,0.0700546979
46740,Jason Drake,52773,Ian Garcia,0.2899305347
46740,Jason Drake,53951,Melissa Welch,0.1502362146
46740,Jason Drake,62617,Raymond Clark,0.1679319039
46740,Jason Drake,89525,Cindy Hernandez,0.1607350143
52677,Krista Jones,52773,Ian Garcia,0.3223465585
52677,Krista Jones,53951,Melissa Welch,0.2040633864
52677,Krista Jones,62617,Raymond Clark,0.2173333116
52677,Krista Jones,89525,Cindy Hernandez,0.2111491806
52773,Ian Garcia,53951,Melissa Welch,0.2610150915
52773,Ian Garcia,62617,Raymond Clark,0.3365937037
52773,Ian Garcia,89525,Cindy Hernandez,0.3183137909
53951,Melissa Welch,62617,Raymond Clark,0.1100328947
53951,Melissa Welch,89525,Cindy Hernandez,0.1110185749
62617,Raymond Clark,89525,Cindy Hernandez,0.0449648398
