nurse_id_i,name_i,nurse_id_j,name_j,js_distance
09040,Kevin Clay,20362,Angela Garcia,0.5738577783
09040,Kevin Clay,28978,Nathaniel Morse,0.5877367167
09040,Kevin Clay,30150,Michael White,0.6282207138
09040,Kevin Clay,34921,Christina Jacobs,0.5534381265
09040,Kevin Clay,36258,Lauren Wright,0.5671389097
09040,Kevin Clay,39245,Jessica Patel,0.4014524631
09040,Kevin Clay,46630,Sara Lynn,0.6170623969
09040,Kevin Clay,46740,Jason Drake,0.5520766619
09040,Kevin Clay,47931,Bradley Mccann,0.4849377989
09040,Kevin Clay,52677,Krista Jones,0.5694094339
09040,Kevin Clay,52773,Ian Garcia,0.4333074050
09040,Kevin Clay,53951,Melissa Welch,0.5574133345
09040,Kevin Clay,58489,Jeanne Rodriguez,0.5475724207
09040,Kevin Clay,62116,David Galloway,0.5846176014
09040,Kevin Clay,62617,Raymond Clark,0.6557698175
09040,Kevin Clay,73765,Anthony Webb,0.3224060224
09040,Kevin Clay,74398,Lauren Salinas,0.5917981786
09040,Kevin Clay,81119,Mrs. Rachel Price MD,0.5579749844
09040,Kevin Clay,82336,William Vasquez,0.5747997997
09040,Kevin Clay,84362,Francisco Escobar,0.6375436735
09040,Kevin Clay,89525,Cindy Hernandez,0.6262220898
09040,Kevin Clay,99412,Jaclyn Robinson,0.4187571699
20362,Angela Garcia,28978,Nathaniel Morse,0.3194575243
20362,Angela Garcia,30150,Michael White,0.3757305534
20362,Angela Garcia,34921,Christina Jacobs,0.2033389687
20362,Angela Garcia,36258,Lauren Wright,0.2402824566
20362,Angela Garcia,39245,Jessica Patel,0.5061641777
20362,Angela Garcia,46630,Sara Lynn,0.4005643058
20362,Angela Garcia,46740,Jason Drake,0.2669658916
20362,Angela Garcia,47931,Bradley Mccann,0.2825812128
20362,Angela Garcia,52677,Krista Jones,0.2648936070
20362,Angela Garcia,52773,Ian Garcia,0.6084336639
20362,Angela Garcia,53951,Melissa Welch,0.4032141826
20362,Angela Garcia,58489,Jeanne Rodriguez,0.5530940925
20362,Angela Garcia,62116,David Galloway,0.2078850594
20362,Angela Garcia,62617,Raymond Clark,0.3941404354
20362,Angela Garcia,73765,Anthony Webb,0.5038176702
20362,Angela Garcia,74398,Lauren Salinas,0.2119944066
20362,Angela Garcia,81119,Mrs. Rachel Price MD,0.3824689867
20362,Angela Garcia,82336,William Vasquez,0.1976632930
20362,Angela Garcia,84362,Francisco Escobar,0.2626902453
20362,Angela Garcia,89525,Cindy Hernandez,0.3873056669
20362,Angela Garcia,99412,Jaclyn Robinson,0.6293363251
28978,Nathaniel Morse,30150,Michael White,0.4326557039
28978,Nathaniel Morse,34921,Christina Jacobs,0.3134050377
28978,Nathaniel Morse,36258,Lauren Wright,0.2936431879
28978,Nathaniel Morse,39245,Jessica Patel,0.5327090126
28978,Nathaniel Morse,46630,Sara Lynn,0.4453799303
28978,Nathaniel Morse,46740,Jason Drake,0.2778219452
28978,Nathaniel Morse,47931,Bradley Mccann,0.3569151870
28978,Nathaniel Morse,52677,Krista Jones,0.3354439612
28978,Nathaniel Morse,52773,Ian Garcia,0.6117542285
28978,Nathaniel Morse,53951,Melissa Welch,0.4446334718
28978,Nathaniel Morse,58489,Jeanne Rodriguez,0.5844842134
28978,Nathaniel Morse,62116,David Galloway,0.3376186307
28978,Nathaniel Morse,62617,Raymond Clark,0.4398281041
28978,Nathaniel Morse,73765,Anthony Webb,0.5166449695
28978,Nathaniel Morse,74398,Lauren Salinas,0.3107095585
28978,Nathaniel Morse,81119,Mrs. Rachel Price MD,0.4470496525
28978,Nathaniel Morse,82336,William Vasquez,0.3442190922
28978,Nathaniel Morse,84362,Francisco Escobar,0.3626638502
28978,Nathaniel Morse,89525,Cindy Hernandez,0.4412081085
28978,Nathaniel Morse,99412,Jaclyn Robinson,0.6322911850
30150,Michael White,34921,Christina Jacobs,0.3581557748
30150,Michael White,36258,Lauren Wright,0.3897845692
30150,Michael White,39245,Jessica Patel,0.5340810366
30150,Michael White,46630,Sara Lynn,0.3245846008
30150,Michael White,46740,Jason Drake,0.4229472843
30150,Michael White,47931,Bradley Mccann,0.3879187088
30150,Michael White,52677,Krista Jones,0.4069908156
30150,Michael White,52773,Ian Garcia,0.6120073872
30150,Michael White,53951,Melissa Welch,0.3451083030
30150,Michael White,58489,Jeanne Rodriguez,0.5211539660
30150,Michael White,62116,David Galloway,0.3559095787
30150,Michael White,62617,Raymond Clark,0.2730371474
30150,Michael White,73765,Anthony Webb,0.5501191766
30150,Michael White,74398,Lauren Salinas,0.3064850054
30150,Michael White,81119,Mrs. Rachel Price MD,0.3284118275
30150,Michael White,82336,William Vasquez,0.3830543754
30150,Michael White,84362,Francisco Escobar,0.4119259305
30150,Michael White,89525,Cindy Hernandez,0.3184619954
30150,Michael White,99412,Jaclyn Robinson,0.7286862935
34921,Christina Jacobs,36258,Lauren Wright,0.2258914199
34921,Christina Jacobs,39245,Jessica Patel,0.4773770486
34921,Christina Jacobs,46630,Sara Lynn,0.3627185883
34921,Christina Jacobs,46740,Jason Drake,0.2723460917
34921,Christina Jacobs,47931,Bradley Mccann,0.2439408256
34921,Christina Jacobs,52677,Krista Jones,0.2788468849
34921,Christina Jacobs,52773,Ian Garcia,0.5897359731
34921,Christina Jacobs,53951,Melissa Welch,0.3808712387
34921,Christina Jacobs,58489,Jeanne Rodriguez,0.5280927344
34921,Christina Jacobs,62116,David Galloway,0.1630473727
34921,Christina Jacobs,62617,Raymond Clark,0.3741264869
34921,Christina Jacobs,73765,Anthony Webb,0.4784641254
34921,Christina Jacobs,74398,Lauren Salinas,0.1924990594
34921,Christina Jacobs,81119,Mrs. Rachel Price MD,0.3429650484
34921,Christina Jacobs,82336,William Vasquez,0.2058386149
34921,Christina Jacobs,84362,Francisco Escobar,0.2872901264
34921,Christina Jacobs,89525,Cindy Hernandez,0.3566267522
34921,Christina Jacobs,99412,Jaclyn Robinson,0.6153939526
36258,Lauren Wright,39245,Jessica Patel,0.4985935354
36258,Lauren Wright,46630,Sara Lynn,0.3830871538
36258,Lauren Wright,46740,Jason Drake,0.2449083483
36258,Lauren Wright,47931,Bradley Mccann,0.2905460050
36258,Lauren Wright,52677,Krista Jones,0.2404451639
36258,Lauren Wright,52773,Ian Garcia,0.6024918440
36258,Lauren Wright,53951,Melissa Welch,0.4252883291
36258,Lauren Wright,58489,Jeanne Rodriguez,0.5327054971
36258,Lauren Wright,62116,David Galloway,0.2432979689
36258,Lauren Wright,62617,Raymond Clark,0.3959479696
36258,Lauren Wright,73765,Anthony Webb,0.4943844110
36258,Lauren Wright,74398,Lauren Salinas,0.2297077256
36258,Lauren Wright,81119,Mrs. Rachel Price MD,0.4136326435
36258,Lauren Wright,82336,William Vasquez,0.2600220494
36258,Lauren Wright,84362,Francisco Escobar,0.2983368939
36258,Lauren Wright,89525,Cindy Hernandez,0.3770719029
36258,Lauren Wright,99412,Jaclyn Robinson,0.6169548115
39245,Jessica Patel,46630,Sara Lynn,0.5236690383
39245,Jessica Patel,46740,Jason Drake,0.5092600535
39245,Jessica Patel,47931,Bradley Mccann,0.4299277320
39245,Jessica Patel,52677,Krista Jones,0.5248928357
39245,Jessica Patel,52773,Ian Garcia,0.5139013425
39245,Jessica Patel,53951,Melissa Welch,0.4508941646
39245,Jessica Patel,58489,Jeanne Rodriguez,0.5158137795
39245,Jessica Patel,62116,David Galloway,0.5032831561
39245,Jessica Patel,62617,Raymond Clark,0.5370196741
39245,Jessica Patel,73765,Anthony Webb,0.3129439806
39245,Jessica Patel,74398,Lauren Salinas,0.4956702569
39245,Jessica Patel,81119,Mrs. Rachel Price MD,0.4631327448
39245,Jessica Patel,82336,William Vasquez,0.5107622873
39245,Jessica Patel,84362,Francisco Escobar,0.5624499683
39245,Jessica Patel,89525,Cindy Hernandez,0.5467569729
39245,Jessica Patel,99412,Jaclyn Robinson,0.5761770018
46630,Sara Lynn,46740,Jason Drake,0.4550573720
46630,Sara Lynn,47931,Bradley Mccann,0.3853572756
46630,Sara Lynn,52677,Krista Jones,0.4218493861
46630,Sara Lynn,52773,Ian Garcia,0.6250428571
46630,Sara Lynn,53951,Melissa Welch,0.3694469422
46630,Sara Lynn,58489,Jeanne Rodriguez,0.5300164505
46630,Sara Lynn,62116,David Galloway,0.3593620561
46630,Sara Lynn,62617,Raymond Clark,0.3379146735
46630,Sara Lynn,73765,Anthony Webb,0.5379491301
46630,Sara Lynn,74398,Lauren Salinas,0.3462376486
46630,Sara Lynn,81119,Mrs. Rachel Price MD,0.3753664420
46630,Sara Lynn,82336,William Vasquez,0.4047448568
46630,Sara Lynn,84362,Francisco Escobar,0.4233867642
46630,Sara Lynn,89525,Cindy Hernandez,0.3194878036
46630,Sara Lynn,99412,Jaclyn Robinson,0.7074011273
46740,Jason Drake,47931,Bradley Mccann,0.3400992340
46740,Jason Drake,52677,Krista Jones,0.2760353366
46740,Jason Drake,52773,Ian Garcia,0.5902997274
46740,Jason Drake,53951,Melissa Welch,0.4513026283
46740,Jason Drake,58489,Jeanne Rodriguez,0.5518271009
46740,Jason Drake,62116,David Galloway,0.2966453486
46740,Jason Drake,62617,Raymond Clark,0.4556629063
46740,Jason Drake,73765,Anthony Webb,0.4933148711
46740,Jason Drake,74398,Lauren Salinas,0.2708969029
46740,Jason Drake,81119,Mrs. Rachel Price MD,0.4371431434
46740,Jason Drake,82336,William Vasquez,0.2609588343
46740,Jason Drake,84362,Francisco Escobar,0.3111498715
46740,Jason Drake,89525,Cindy Hernandez,0.4359215715
46740,Jason Drake,99412,Jaclyn Robinson,0.6047782237
47931,Bradley Mccann,52677,Krista Jones,0.3325624912
47931,Bradley Mccann,52773,Ian Garcia,0.5314296074
47931,Bradley Mccann,53951,Melissa Welch,0.3747550519
47931,Bradley Mccann,58489,Jeanne Rodriguez,0.4772288425
47931,Bradley Mccann,62116,David Galloway,0.2524975381
47931,Bradley Mccann,62617,Raymond Clark,0.3904138533
47931,Bradley Mccann,73765,Anthony Webb,0.4086737423
47931,Bradley Mccann,74398,Lauren Salinas,0.2914920783
47931,Bradley Mccann,81119,Mrs. Rachel Price MD,0.3597100740
47931,Bradley Mccann,82336,William Vasquez,0.2963764153
47931,Bradley Mccann,84362,Francisco Escobar,0.3918616936
47931,Bradley Mccann,89525,Cindy Hernandez,0.3911096380
47931,Bradley Mccann,99412,Jaclyn Robinson,0.5512774777
52677,Krista Jones,52773,Ian Garcia,0.6025771229
52677,Krista Jones,53951,Melissa Welch,0.4497650585
52677,Krista Jones,58489,Jeanne Rodriguez,0.5497789061
52677,Krista Jones,62116,David Galloway,0.2804604879
52677,Krista Jones,62617,Raymond Clark,0.4287315283
52677,Krista Jones,73765,Anthony Webb,0.5005353421
52677,Krista Jones,74398,Lauren Salinas,0.2691321700
52677,Krista Jones,81119,Mrs. Rachel Price MD,0.4119565092
52677,Krista Jones,82336,William Vasquez,0.2577630948
52677,Krista Jones,84362,Francisco Escobar,0.2860414034
52677,Krista Jones,89525,Cindy Hernandez,0.4017073446
52677,Krista Jones,99412,Jaclyn Robinson,0.6185977221
52773,Ian Garcia,53951,Melissa Welch,0.5714050830
52773,Ian Garcia,58489,Jeanne Rodriguez,0.5756268138
52773,Ian Garcia,62116,David Galloway,0.6108263226
52773,Ian Garcia,62617,Raymond Clark,0.6202975220
52773,Ian Garcia,73765,Anthony Webb,0.4242080256
52773,Ian Garcia,74398,Lauren Salinas,0.6130077802
52773,Ian Garcia,81119,Mrs. Rachel Price MD,0.5481867163
52773,Ian Garcia,82336,William Vasquez,0.6055338549
52773,Ian Garcia,84362,Francisco Escobar,0.6700324057
52773,Ian Garcia,89525,Cindy Hernandez,0.6074020405
52773,Ian Garcia,99412,Jaclyn Robinson,0.4622170005
53951,Melissa Welch,58489,Jeanne Rodriguez,0.5315450543
53951,Melissa Welch,62116,David Galloway,0.3824686103
53951,Melissa Welch,62617,Raymond Clark,0.3346234194
53951,Melissa Welch,73765,Anthony Webb,0.4774032951
53951,Melissa Welch,74398,Lauren Salinas,0.3616426637
53951,Melissa Welch,81119,Mrs. Rachel Price MD,0.3100714034
53951,Melissa Welch,82336,William Vasquez,0.4133228027
53951,Melissa Welch,84362,Francisco Escobar,0.4439758447
53951,Melissa Welch,89525,Cindy Hernandez,0.4301126841
