nurse_id_i,name_i,nurse_id_j,name_j,js_distance
09040,Kevin Clay,34921,Christina Jacobs,0.6502112418
09040,Kevin Clay,39245,Jessica Patel,0.4998796825
09040,Kevin Clay,62116,David Galloway,0.6787531934
09040,Kevin Clay,74398,Lauren Salinas,0.6846013970
09040,Kevin Clay,81119,Mrs. Rachel Price MD,0.6616966066
09040,Kevin Clay,99412,Jaclyn Robinson,0.5157457600
34921,Christina Jacobs,39245,Jessica Patel,0.5747774224
34921,Christina Jacobs,62116,David Galloway,0.2564127221
34921,Christina Jacobs,74398,Lauren Salinas,0.2713881142
34921,Christina Jacobs,81119,Mrs. Rachel Price MD,0.4584388589
34921,Christina Jacobs,99412,Jaclyn Robinson,0.6756127117
39245,Jessica Patel,62116,David Galloway,0.5983989954
39245,Jessica Patel,74398,Lauren Salinas,0.5848833438
39245,Jessica Patel,81119,Mrs. Rachel Price MD,0.5881343796
39245,Jessica Patel,99412,Jaclyn Robinson,0.6519307189
62116,David Galloway,74398,Lauren Salinas,0.2833520910
62116,David Galloway,81119,Mrs. Rachel Price MD,0.4627985607
62116,David Galloway,99412,Jaclyn Robinson,0.7027207673
74398,Lauren Salinas,81119,Mrs. Rachel Price MD,0.4567754176
74398,Lauren Salinas,99412,Jaclyn Robinson,0.7349066592
81119,Mrs. Rachel Price MD,99412,Jaclyn Robinson,0.7429220099
